state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
35,001,0023,42401,1,35.1343,-106.5852,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence API 100 EU,2011,Parts per billion,No Events,8337,95.0,Y,347,365,0,368,0.0,,Certified,1.154467,0.973048,4.7,2011-11-30 08:00,4.3,2011-12-08 08:00,4.3,2011-12-30 07:00,4.1,2011-12-27 20:00,,,,,4.1,4.0,3.3,2.6,1.6,0.8,0.2,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-09
35,001,0023,42602,1,35.1343,-106.5852,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,Multiple Methods Used,2011,Parts per billion,No Events,7993,91.0,Y,329,365,0,766,0.0,,Certified,28.783283,11.076863,61.3,2011-03-01 19:00,54.5,2011-02-14 16:00,52.9,2011-01-19 07:00,52.7,2011-02-23 07:00,,,,,52.7,49.5,46.8,43.3,37.7,27.9,14.1,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-09
35,001,0029,42101,1,35.01708,-106.65739,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,Multiple Methods Used,2011,Parts per million,No Events,3996,46.0,Y,182,365,0,372,0.0,0.0,Certified,0.466016,0.343546,2.3,2011-11-01 06:00,2.3,2011-12-27 07:00,2.2,2011-01-07 07:00,2.1,2011-01-06 07:00,,,,,1.5,1.3,1.1,0.9,0.6,0.4,0.1,SOUTH VALLEY,201 PROSPERITY SE,New Mexico,Bernalillo,South Valley,10740,"Albuquerque, NM",2021-11-08
35,001,1013,42101,1,35.19324,-106.613815,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,Multiple Methods Used,2011,Parts per million,No Events,4285,49.0,Y,182,365,0,82,0.0,0.0,Certified,0.471459,0.294003,2.1,2011-01-03 18:00,2.1,2011-01-03 20:00,2.1,2011-01-09 07:00,1.8,2011-01-03 19:00,,,,,1.4,1.3,1.0,0.9,0.6,0.4,0.2,NORTH VALLEY,9819A SECOND STREET NW,New Mexico,Bernalillo,North Valley,10740,"Albuquerque, NM",2021-11-08
35,001,0023,42101,1,35.1343,-106.5852,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,Multiple Methods Used,2011,Parts per million,No Events,8557,98.0,Y,365,365,0,176,0.0,0.0,Certified,0.205463,0.189099,2.0,2011-01-27 07:00,1.772,2011-12-17 23:00,1.705,2011-12-18 00:00,1.635,2011-12-11 01:00,,,,,1.045,0.835,0.6,0.4,0.218,0.155,0.063,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-08
35,001,0028,42101,1,35.102652,-106.577438,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,Multiple Methods Used,2011,Parts per million,No Events,8582,98.0,Y,365,365,0,158,0.0,0.0,Certified,0.535668,0.331789,3.1,2011-01-12 22:00,3.1,2011-12-10 23:00,3.0,2011-01-12 21:00,2.9,2011-01-12 23:00,,,,,1.8,1.5,1.2,0.9,0.7,0.4,0.2,UPTOWN SAN PEDRO,2200 SAN PEDRO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-08
35,001,0029,42101,1,35.01708,-106.65739,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,3863,44.0,Y,178,365,0,0,0.0,0.0,Certified,0.48131,0.289015,1.7,2011-11-18 07:00,1.6,2011-11-18 06:00,1.6,2011-11-18 08:00,1.5,2011-02-26 17:00,1.7,2011-11-18 07:00,1.5,2011-02-26 17:00,1.2,1.1,1.0,0.9,0.7,0.4,0.1,SOUTH VALLEY,201 PROSPERITY SE,New Mexico,Bernalillo,South Valley,10740,"Albuquerque, NM",2021-11-08
35,001,1013,42101,1,35.19324,-106.613815,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,4228,48.0,Y,183,365,0,0,0.0,0.0,Certified,0.477129,0.251881,1.6,2011-01-04 00:00,1.5,2011-01-03 22:00,1.5,2011-01-03 23:00,1.5,2011-01-04 01:00,1.6,2011-01-04 00:00,1.5,2011-01-09 08:00,1.2,1.1,0.9,0.8,0.6,0.4,0.2,NORTH VALLEY,9819A SECOND STREET NW,New Mexico,Bernalillo,North Valley,10740,"Albuquerque, NM",2021-11-08
35,001,0023,42101,1,35.1343,-106.5852,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,8488,97.0,Y,365,365,0,0,0.0,0.0,Certified,0.208141,0.151357,1.3,2011-12-11 02:00,1.3,2011-12-11 03:00,1.3,2011-12-11 04:00,1.3,2011-12-11 05:00,1.3,2011-12-11 02:00,1.3,2011-12-18 04:00,0.8,0.7,0.5,0.4,0.2,0.2,0.1,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-08
35,001,0028,42101,1,35.102652,-106.577438,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,8490,97.0,Y,365,365,0,0,0.0,0.0,Certified,0.541355,0.286811,2.2,2011-01-04 03:00,2.2,2011-01-13 00:00,2.2,2011-12-11 04:00,2.2,2011-12-12 02:00,2.2,2011-01-04 03:00,2.2,2011-01-13 00:00,1.6,1.3,1.1,0.9,0.7,0.5,0.3,UPTOWN SAN PEDRO,2200 SAN PEDRO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-08
