state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2011,Parts per billion,No Events,8573,98.0,Y,363,365,0,187,0.0,,Uncertified (past due),3.521488,3.158043,19.5,2011-08-27 10:00,17.9,2011-02-05 11:00,16.7,2011-01-15 22:00,15.3,2011-12-02 11:00,,,,,15.3,13.2,10.1,7.7,4.8,2.5,0.7,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2011,Parts per million,No Events,8608,98.0,Y,365,365,0,152,0.0,0.0,Uncertified (past due),0.290358,0.138617,1.3,2011-01-04 21:00,1.2,2011-01-26 02:00,1.1,2011-01-04 23:00,1.1,2011-01-26 03:00,,,,,0.6,0.6,0.5,0.5,0.4,0.3,0.1,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-08
36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8563,98.0,Y,365,365,0,0,0.0,0.0,Uncertified (past due),0.293787,0.133664,1.0,2011-01-26 06:00,1.0,2011-01-26 07:00,1.0,2011-01-26 08:00,1.0,2011-01-26 09:00,1.0,2011-01-26 06:00,0.9,2011-01-26 10:00,0.6,0.6,0.5,0.5,0.4,0.3,0.1,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-08
36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,2812,96.0,Y,362,365,0,0,,0.0,Uncertified (past due),1.894488,2.172199,16.4,2011-02-05 11:00,14.5,2011-02-12 11:00,14.3,2011-02-12 05:00,14.1,2011-02-11 17:00,,,,,9.6,7.8,6.1,5.1,2.4,1.3,0.0,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2011,Parts per billion,No Events,363,99.0,Y,363,365,0,0,0.0,,Uncertified (past due),1.918182,2.019668,10.5,2011-02-12 00:00,9.9,2011-02-05 00:00,9.7,2011-01-15 00:00,9.7,2011-01-25 00:00,,,,,9.7,8.0,6.1,5.0,2.3,1.3,0.2,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2011,Parts per billion,No Events,8573,98.0,Y,363,365,0,187,,,Uncertified (past due),1.917928,2.224527,19.5,2011-08-27 10:00,17.9,2011-02-05 11:00,17.7,2011-02-05 10:00,16.7,2011-01-15 22:00,,,,,10.2,7.8,6.2,5.2,2.5,1.3,0.0,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,42401,5,42.68075,-73.75733,WGS84,Sulfur dioxide,H,5 MINUTE,,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2011,Parts per billion,No Events,102964,98.0,Y,361,365,0,2131,,,Certification not required,1.923359,2.277935,41.8,2011-06-07 08:50,38.7,2011-08-27 10:20,37.8,2011-08-27 10:25,29.7,2011-04-29 07:40,,,,,10.3,7.9,6.2,5.2,2.5,1.3,0.0,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,44201,1,42.68075,-73.75733,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,8315,92.0,Y,196,214,0,445,0.0,0.0,Uncertified (past due),0.045097,0.014219,0.105,2011-07-20 18:00,0.078,2011-09-01 13:00,0.077,2011-05-26 15:00,0.074,2011-06-21 13:00,,,,,0.078,0.074,0.07,0.065,0.053,0.047,0.039,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-29
36,001,0012,44201,1,42.68075,-73.75733,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,8236,91.0,Y,194,214,0,0,0.0,0.0,Uncertified (past due),0.039485,0.012861,0.082,2011-07-20 14:00,0.068,2011-05-26 10:00,0.065,2011-06-07 11:00,0.065,2011-06-08 09:00,,,,,0.068,0.065,0.061,0.057,0.048,0.042,0.035,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-29
36,001,0012,44201,1,42.68075,-73.75733,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,8236,91.0,Y,194,214,0,0,1.0,1.0,Uncertified (past due),0.039485,0.012861,0.082,2011-07-20 14:00,0.068,2011-05-26 10:00,0.065,2011-06-07 11:00,0.065,2011-06-08 09:00,,,,,0.068,0.065,0.061,0.057,0.048,0.042,0.035,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-29
