state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
38,007,0002,42401,1,46.8943,-103.37853,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8674,99.0,Y,362,365,0,86,,,Certified,0.073553,0.426964,10.0,2006-06-07 07:00,9.0,2006-07-28 13:00,9.0,2006-12-10 19:00,8.0,2006-12-10 18:00,,,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,42401,1,46.8943,-103.37853,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8674,99.0,Y,362,365,0,86,0.0,,Certified,0.486188,1.156016,10.0,2006-06-07 07:00,9.0,2006-07-28 13:00,9.0,2006-12-10 19:00,6.0,2006-06-13 09:00,,,,,6.0,4.0,2.0,1.0,1.0,0.0,0.0,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,42401,1,46.8943,-103.37853,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,362,99.0,Y,362,365,0,0,0.0,,Certified,0.070166,0.261668,2.2,2006-06-13 00:00,2.0,2006-09-08 00:00,2.0,2006-12-10 00:00,1.8,2006-07-28 00:00,,,,,1.8,0.9,0.3,0.2,0.0,0.0,0.0,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,42401,1,46.8943,-103.37853,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2868,98.0,Y,362,365,0,0,,0.0,Certified,0.07099,0.378322,7.6,2006-12-10 20:00,6.6,2006-07-28 14:00,5.6,2006-06-07 08:00,5.6,2006-06-13 11:00,,,,,1.6,1.0,0.3,0.0,0.0,0.0,0.0,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,88101,1,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,0.0,0.0,Certified,4.732787,3.610758,18.8,2006-06-28 00:00,17.8,2006-07-04 00:00,13.3,2006-09-14 00:00,10.6,2006-03-18 00:00,,,,,18.8,17.8,10.6,8.4,6.0,3.6,1.4,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,88101,1,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,,,Certified,4.732787,3.610758,18.8,2006-06-28 00:00,17.8,2006-07-04 00:00,13.3,2006-09-14 00:00,10.6,2006-03-18 00:00,,,,,18.8,17.8,10.6,8.4,6.0,3.6,1.4,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,88101,1,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,0.0,0.0,Certified,4.732787,3.610758,18.8,2006-06-28 00:00,17.8,2006-07-04 00:00,13.3,2006-09-14 00:00,10.6,2006-03-18 00:00,,,,,18.8,17.8,10.6,8.4,6.0,3.6,1.4,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,88101,1,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,,,Certified,4.732787,3.610758,18.8,2006-06-28 00:00,17.8,2006-07-04 00:00,13.3,2006-09-14 00:00,10.6,2006-03-18 00:00,,,,,18.8,17.8,10.6,8.4,6.0,3.6,1.4,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,88101,1,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,0.0,0.0,Certified,4.732787,3.610758,18.8,2006-06-28 00:00,17.8,2006-07-04 00:00,13.3,2006-09-14 00:00,10.6,2006-03-18 00:00,,,,,18.8,17.8,10.6,8.4,6.0,3.6,1.4,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
38,007,0002,88101,1,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,,,Certified,4.732787,3.610758,18.8,2006-06-28 00:00,17.8,2006-07-04 00:00,13.3,2006-09-14 00:00,10.6,2006-03-18 00:00,,,,,18.8,17.8,10.6,8.4,6.0,3.6,1.4,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-09
