state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
40,001,9009,42602,1,35.750735,-94.669697,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,6592,75.0,Y,282,365,0,2163,,,Certified,3.946556,1.929925,19.7,2011-01-25 18:00,16.6,2011-08-01 03:00,14.7,2011-01-16 00:00,14.7,2011-08-01 06:00,,,,,10.7,9.4,7.8,6.4,4.7,3.5,2.0,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-09
40,001,9009,42602,1,35.750735,-94.669697,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,6592,75.0,N,282,365,0,2163,0.0,,Certified,6.542553,2.989048,19.7,2011-01-25 18:00,14.7,2011-01-16 00:00,14.5,2011-02-10 07:00,14.5,2011-08-22 03:00,,,,,14.5,14.0,11.9,10.8,8.4,5.8,3.3,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-09
40,001,9009,42401,2,35.750735,-94.669697,WGS84,Sulfur dioxide,H,5 MINUTE,,Observed Values,Instrumental - Ultraviolet Fluorescence EC9850T,2011,Parts per billion,No Events,89902,86.0,Y,322,365,0,14998,,,Certification not required,1.214786,0.826328,39.3,2011-02-10 11:25,28.5,2011-02-10 11:30,19.1,2011-02-10 11:20,14.7,2011-02-10 11:35,,,,,4.0,3.2,2.5,2.1,1.6,1.1,0.4,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-09
40,001,9009,42401,1,35.750735,-94.669697,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,Instrumental - Ultraviolet Fluorescence EC9850T,2011,Parts per billion,No Events,7329,84.0,Y,315,365,0,1428,,,Certified,1.196794,0.791988,13.1,2011-02-10 11:00,8.9,2011-12-09 11:00,8.5,2011-01-22 12:00,8.5,2011-11-10 12:00,,,,,3.8,3.2,2.5,2.1,1.6,1.1,0.4,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-09
40,001,9009,42401,1,35.750735,-94.669697,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence EC9850T,2011,Parts per billion,No Events,7329,84.0,Y,315,365,0,1428,0.0,,Certified,2.302222,1.495608,13.1,2011-02-10 11:00,8.9,2011-12-09 11:00,8.5,2011-01-22 12:00,8.5,2011-11-10 12:00,,,,,8.5,8.1,4.9,3.7,2.7,1.9,1.0,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-09
40,001,9009,42401,1,35.750735,-94.669697,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2011,Parts per billion,No Events,315,86.0,Y,315,365,0,0,0.0,,Certified,1.211746,0.564069,3.5,2011-01-14 00:00,3.1,2011-02-10 00:00,2.7,2011-03-16 00:00,2.6,2011-01-22 00:00,,,,,2.6,2.5,2.2,1.9,1.5,1.2,0.5,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-09
40,001,9009,42401,1,35.750735,-94.669697,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,2267,78.0,N,292,365,0,0,,0.0,Certified,1.18112,0.733985,7.3,2011-12-24 14:00,6.1,2011-02-10 11:00,5.9,2011-10-14 14:00,5.7,2011-01-22 14:00,,,,,3.7,2.9,2.4,2.0,1.6,1.1,0.4,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-09
40,001,9009,42101,1,35.750735,-94.669697,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Ecotech EC9830T,2011,Parts per million,No Events,5430,62.0,Y,259,365,0,3206,0.0,0.0,Requested but denied,0.170422,0.045711,0.765,2011-07-14 10:00,0.658,2011-08-30 11:00,0.623,2011-07-28 19:00,0.554,2011-06-06 09:00,,,,,0.294,0.27,0.243,0.222,0.195,0.168,0.119,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-08
40,001,9009,42101,1,35.750735,-94.669697,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,5833,67.0,Y,259,365,0,0,0.0,0.0,Requested but denied,0.173924,0.050041,0.3,2011-01-02 04:00,0.3,2011-01-02 05:00,0.3,2011-01-02 06:00,0.3,2011-01-02 07:00,0.3,2011-01-02 04:00,0.3,2011-01-05 02:00,0.3,0.3,0.2,0.2,0.2,0.2,0.1,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2021-11-08
40,001,9009,81102,3,35.750735,-94.669697,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,2011,Micrograms/cubic meter (25 C),No Events,6852,78.0,Y,288,365,0,1831,,,Certified,19.086836,12.790597,143.0,2011-08-07 01:00,121.0,2011-03-03 18:00,116.0,2011-12-31 23:00,110.0,2011-07-28 20:00,,,,,57.0,48.0,41.0,35.0,26.0,18.0,5.0,STILWELL,"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Oklahoma,Adair,Cherry Tree,,,2022-04-30
