state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
41,005,0004,44201,1,45.25928,-122.588151,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,3574,97.0,Y,149,153,0,0,1.0,1.0,Uncertified (past due),0.047081,0.017319,0.127,2006-07-21 15:00,0.092,2006-08-19 16:00,0.088,2006-05-17 17:00,0.087,2006-07-23 12:00,,,,,0.092,0.088,0.078,0.074,0.055,0.043,0.029,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,005,0004,44201,1,45.25928,-122.588151,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,3577,97.0,Y,149,153,0,0,1.0,1.0,Uncertified (past due),0.040812,0.014271,0.106,2006-07-21 12:00,0.073,2006-07-23 10:00,0.073,2006-08-19 11:00,0.072,2006-06-26 11:00,,,,,0.073,0.073,0.067,0.063,0.048,0.038,0.026,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,005,0004,44201,1,45.25928,-122.588151,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,3577,97.0,Y,149,153,0,0,1.0,1.0,Uncertified (past due),0.040812,0.014271,0.106,2006-07-21 12:00,0.073,2006-07-23 10:00,0.073,2006-08-19 11:00,0.072,2006-06-26 11:00,,,,,0.073,0.073,0.067,0.063,0.048,0.038,0.026,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,005,0004,44201,1,45.25928,-122.588151,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,2540,97.0,Y,148,153,0,0,4.0,4.0,Uncertified (past due),0.040878,0.014297,0.106,2006-07-21 12:00,0.073,2006-07-23 10:00,0.073,2006-08-19 11:00,0.072,2006-06-26 11:00,,,,,0.073,0.073,0.067,0.063,0.048,0.038,0.026,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,005,2002,44201,1,45.443178,-122.638042,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,3640,99.0,Y,152,153,0,0,0.0,0.0,Uncertified (past due),0.042599,0.014999,0.091,2006-07-21 14:00,0.085,2006-07-23 12:00,0.081,2006-08-28 15:00,0.077,2006-06-26 13:00,,,,,0.085,0.077,0.072,0.066,0.051,0.04,0.026,W CENTER EDGE OF ASPHALT PARKING LOT ON W SIDE OF ST. JOHN'S CHURCH,"10955 SE 25TH, MILWAUKIE, OR",Oregon,Clackamas,Milwaukie,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,005,2002,44201,1,45.443178,-122.638042,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,3645,99.0,Y,151,153,0,0,0.0,0.0,Uncertified (past due),0.035715,0.012986,0.071,2006-06-26 11:00,0.07,2006-07-21 11:00,0.07,2006-07-23 10:00,0.068,2006-06-25 12:00,,,,,0.07,0.068,0.061,0.056,0.042,0.033,0.021,W CENTER EDGE OF ASPHALT PARKING LOT ON W SIDE OF ST. JOHN'S CHURCH,"10955 SE 25TH, MILWAUKIE, OR",Oregon,Clackamas,Milwaukie,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,005,2002,44201,1,45.443178,-122.638042,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,3645,99.0,Y,151,153,0,0,0.0,0.0,Uncertified (past due),0.035715,0.012986,0.071,2006-06-26 11:00,0.07,2006-07-21 11:00,0.07,2006-07-23 10:00,0.068,2006-06-25 12:00,,,,,0.07,0.068,0.061,0.056,0.042,0.033,0.021,W CENTER EDGE OF ASPHALT PARKING LOT ON W SIDE OF ST. JOHN'S CHURCH,"10955 SE 25TH, MILWAUKIE, OR",Oregon,Clackamas,Milwaukie,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,005,2002,44201,1,45.443178,-122.638042,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,2581,99.0,Y,151,153,0,0,1.0,1.0,Uncertified (past due),0.035881,0.013078,0.071,2006-06-26 11:00,0.07,2006-07-21 11:00,0.07,2006-07-23 10:00,0.068,2006-06-25 12:00,,,,,0.07,0.068,0.061,0.056,0.043,0.033,0.021,W CENTER EDGE OF ASPHALT PARKING LOT ON W SIDE OF ST. JOHN'S CHURCH,"10955 SE 25TH, MILWAUKIE, OR",Oregon,Clackamas,Milwaukie,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,009,0004,44201,1,45.768531,-122.7721,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,3523,96.0,Y,147,153,0,0,0.0,0.0,Uncertified (past due),0.040265,0.012903,0.089,2006-07-21 13:00,0.081,2006-06-26 16:00,0.069,2006-06-24 17:00,0.068,2006-06-25 16:00,,,,,0.081,0.069,0.065,0.059,0.048,0.038,0.026,SAUVIE ISLAND-SIS,"SAUVIE ISLAND-SSB/ROUTE 1, BOX 442",Oregon,Columbia,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
41,009,0004,44201,1,45.768531,-122.7721,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,3519,95.0,Y,145,153,0,0,0.0,0.0,Uncertified (past due),0.03491,0.01126,0.075,2006-07-21 11:00,0.071,2006-06-26 11:00,0.063,2006-06-24 13:00,0.063,2006-06-25 13:00,,,,,0.071,0.063,0.055,0.051,0.041,0.033,0.023,SAUVIE ISLAND-SIS,"SAUVIE ISLAND-SSB/ROUTE 1, BOX 442",Oregon,Columbia,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-12-25
