state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
42,001,0001,42602,1,39.92002,-77.30968,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,5041,58.0,N,206,365,0,839,0.0,,Uncertified (past due),3.898058,3.403627,21.0,2011-04-20 04:00,15.0,2011-04-07 06:00,15.0,2011-04-18 18:00,14.0,2011-04-19 10:00,,,,,15.0,13.0,11.0,8.0,5.0,3.0,0.0,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0001,42101,1,39.92002,-77.30968,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2011,Parts per million,No Events,5372,61.0,Y,230,365,0,508,0.0,0.0,Uncertified (past due),0.009438,0.042828,0.7,2011-07-26 12:00,0.4,2011-07-08 14:00,0.4,2011-07-08 17:00,0.4,2011-07-08 18:00,,,,,0.2,0.2,0.1,0.0,0.0,0.0,0.0,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-08
42,001,0001,42101,1,39.92002,-77.30968,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,5360,61.0,Y,228,365,0,0,0.0,0.0,Uncertified (past due),0.009366,0.040268,0.4,2011-07-08 19:00,0.4,2011-07-08 20:00,0.4,2011-07-08 21:00,0.4,2011-07-08 22:00,0.4,2011-07-08 19:00,0.4,2011-07-09 03:00,0.2,0.1,0.1,0.0,0.0,0.0,0.0,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-08
42,001,0001,42602,1,39.92002,-77.30968,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,5041,58.0,N,206,365,0,839,,,Uncertified (past due),1.13906,1.904231,21.0,2011-04-20 04:00,18.0,2011-04-20 05:00,17.0,2011-04-20 03:00,15.0,2011-04-07 06:00,,,,,9.0,7.0,5.0,3.0,2.0,0.0,0.0,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0002,44201,1,39.93,-77.25,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,2842,41.0,N,87,214,0,350,0.0,0.0,Certified,0.055356,0.010849,0.087,2011-07-02 12:00,0.074,2011-07-07 11:00,0.073,2011-07-06 14:00,0.072,2011-05-31 13:00,,,,,0.087,0.074,0.072,0.07,0.063,0.056,0.048,Biglerville,UNIVERSITY DRIVE- PENN STATE RESEACH ORCHART,Pennsylvania,Adams,Biglerville,23900,"Gettysburg, PA",2021-11-30
42,001,9991,44201,1,39.9231,-77.3078,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,7097,81.0,Y,174,214,0,1663,0.0,0.0,Certified,0.050839,0.013971,0.09,2011-07-21 14:00,0.077,2011-06-09 11:00,0.077,2011-07-20 17:00,0.076,2011-08-01 17:00,,,,,0.077,0.076,0.073,0.068,0.06,0.053,0.044,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-30
42,001,0002,44201,1,39.93,-77.25,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,2837,40.0,N,86,214,0,0,0.0,0.0,Certified,0.051116,0.010254,0.082,2011-07-02 10:00,0.069,2011-07-06 10:00,0.068,2011-05-31 10:00,0.067,2011-06-08 10:00,,,,,0.082,0.069,0.067,0.065,0.058,0.053,0.044,Biglerville,UNIVERSITY DRIVE- PENN STATE RESEACH ORCHART,Pennsylvania,Adams,Biglerville,23900,"Gettysburg, PA",2021-11-30
42,001,9991,44201,1,39.9231,-77.3078,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,7067,78.0,Y,166,214,0,0,0.0,0.0,Certified,0.046404,0.013318,0.078,2011-07-21 10:00,0.072,2011-06-09 09:00,0.072,2011-07-20 11:00,0.069,2011-07-29 10:00,,,,,0.072,0.069,0.066,0.062,0.056,0.05,0.041,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-30
42,001,0002,44201,1,39.93,-77.25,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,2837,40.0,N,86,214,0,0,1.0,1.0,Certified,0.051116,0.010254,0.082,2011-07-02 10:00,0.069,2011-07-06 10:00,0.068,2011-05-31 10:00,0.067,2011-06-08 10:00,,,,,0.082,0.069,0.067,0.065,0.058,0.053,0.044,Biglerville,UNIVERSITY DRIVE- PENN STATE RESEACH ORCHART,Pennsylvania,Adams,Biglerville,23900,"Gettysburg, PA",2021-11-30
42,001,9991,44201,1,39.9231,-77.3078,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,7067,78.0,Y,166,214,0,0,1.0,1.0,Certified,0.046404,0.013318,0.078,2011-07-21 10:00,0.072,2011-06-09 09:00,0.072,2011-07-20 11:00,0.069,2011-07-29 10:00,,,,,0.072,0.069,0.066,0.062,0.056,0.05,0.041,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-30
