state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,14,12.0,N,14,121,0,5,0.0,0.0,Uncertified (past due),3.271429,2.856956,13.0,2011-11-05 00:00,3.7,2011-12-02 00:00,3.3,2011-11-14 00:00,3.1,2011-12-29 00:00,,,,,13.0,13.0,13.0,3.7,3.1,2.5,1.8,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,14,12.0,N,14,121,0,5,,,Uncertified (past due),3.271429,2.856956,13.0,2011-11-05 00:00,3.7,2011-12-02 00:00,3.3,2011-11-14 00:00,3.1,2011-12-29 00:00,,,,,13.0,13.0,13.0,3.7,3.1,2.5,1.8,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,14,12.0,N,14,121,0,5,0.0,0.0,Uncertified (past due),3.271429,2.856956,13.0,2011-11-05 00:00,3.7,2011-12-02 00:00,3.3,2011-11-14 00:00,3.1,2011-12-29 00:00,,,,,13.0,13.0,13.0,3.7,3.1,2.5,1.8,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,14,12.0,N,14,121,0,5,,,Uncertified (past due),3.271429,2.856956,13.0,2011-11-05 00:00,3.7,2011-12-02 00:00,3.3,2011-11-14 00:00,3.1,2011-12-29 00:00,,,,,13.0,13.0,13.0,3.7,3.1,2.5,1.8,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,14,12.0,N,14,121,0,5,0.0,0.0,Uncertified (past due),3.271429,2.856956,13.0,2011-11-05 00:00,3.7,2011-12-02 00:00,3.3,2011-11-14 00:00,3.1,2011-12-29 00:00,,,,,13.0,13.0,13.0,3.7,3.1,2.5,1.8,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,14,12.0,N,14,121,0,5,,,Uncertified (past due),3.271429,2.856956,13.0,2011-11-05 00:00,3.7,2011-12-02 00:00,3.3,2011-11-14 00:00,3.1,2011-12-29 00:00,,,,,13.0,13.0,13.0,3.7,3.1,2.5,1.8,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,013,0001,14129,1,18.457039,-66.696693,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - Emission Spectra ICAP (ICP-AES); 6:3:1 DI water:HCl:HNO3 microwave 95C; add DI water sonicate 30 min; sit overnight,2011,Micrograms/cubic meter (LC),No Events,54,89.0,Y,54,61,0,7,3.0,3.0,Uncertified (past due),0.206296,0.189491,1.14,2011-01-03 00:00,0.69,2011-04-27 00:00,0.46,2011-01-09 00:00,0.44,2011-06-20 00:00,,,,,1.14,0.69,0.46,0.39,0.29,0.16,0.05,,Victor Santoni Cordero,Puerto Rico,Arecibo,,11640,"Arecibo, PR",2021-11-08
72,013,0001,14129,2,18.457039,-66.696693,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - Emission Spectra ICAP (ICP-AES); 6:3:1 DI water:HCl:HNO3 microwave 95C; add DI water sonicate 30 min; sit overnight,2011,Micrograms/cubic meter (LC),No Events,41,67.0,N,41,61,0,20,1.0,1.0,Uncertified (past due),0.195854,0.189868,1.13,2011-01-03 00:00,0.6,2011-04-27 00:00,0.41,2011-09-12 00:00,0.35,2011-06-20 00:00,,,,,1.13,1.13,0.41,0.33,0.24,0.17,0.05,,Victor Santoni Cordero,Puerto Rico,Arecibo,,11640,"Arecibo, PR",2021-11-08
72,021,0006,42101,1,18.417315,-66.150293,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2011,Parts per million,No Events,963,11.0,Y,42,365,0,789,0.0,0.0,Uncertified (past due),0.173209,0.138182,0.9,2011-02-14 07:00,0.9,2011-02-15 07:00,0.9,2011-03-04 07:00,0.8,2011-02-09 07:00,,,,,0.7,0.6,0.4,0.4,0.2,0.1,0.1,,REGIONAL JAIL OF BAYAMON,Puerto Rico,Bayamon,Bayamon,41980,"San Juan-Carolina-Caguas, PR",2021-11-08
72,021,0006,42101,1,18.417315,-66.150293,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,962,11.0,Y,42,365,0,0,0.0,0.0,Uncertified (past due),0.174012,0.095966,0.5,2011-01-03 07:00,0.5,2011-01-03 08:00,0.5,2011-01-03 09:00,0.5,2011-01-03 10:00,0.5,2011-01-03 07:00,0.5,2011-02-09 11:00,0.4,0.4,0.4,0.3,0.2,0.1,0.1,,REGIONAL JAIL OF BAYAMON,Puerto Rico,Bayamon,Bayamon,41980,"San Juan-Carolina-Caguas, PR",2021-11-08
