state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
44,003,0002,42602,1,41.615237,-71.72,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",2017,Parts per billion,No Events,4606,53.0,N,197,365,0,530,,,Certified,1.341099,0.76812,9.5,2017-08-19 02:00,7.5,2017-03-28 16:00,7.2,2017-03-28 17:00,7.2,2017-08-19 03:00,,,,,4.3,3.5,2.7,2.2,1.6,1.2,0.7,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,42602,1,41.615237,-71.72,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",2017,Parts per billion,No Events,4606,53.0,N,197,365,0,530,0.0,,Certified,2.423858,1.239317,9.5,2017-08-19 02:00,7.0,2017-04-05 17:00,6.3,2017-07-13 16:00,6.1,2017-04-26 16:00,,,,,7.0,6.1,4.8,3.8,2.9,2.0,1.2,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),No Events,8391,96.0,Y,357,365,0,369,,,Certified,4.602908,3.555266,28.0,2017-12-08 16:00,23.0,2017-06-13 06:00,23.0,2017-12-03 02:00,22.0,2017-04-29 01:00,,,,,16.0,14.0,11.0,9.0,6.0,4.0,1.0,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,365,0,0,0.0,0.0,Certified,4.574352,2.527549,16.0,2017-06-13 00:00,14.7,2017-06-12 00:00,13.7,2017-06-11 00:00,13.6,2017-05-18 00:00,,,,,13.6,11.5,9.4,7.9,5.7,4.2,1.7,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,365,0,0,,,Certified,4.574352,2.527549,16.0,2017-06-13 00:00,14.7,2017-06-12 00:00,13.7,2017-06-11 00:00,13.6,2017-05-18 00:00,,,,,13.6,11.5,9.4,7.9,5.7,4.2,1.7,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,365,0,0,0.0,0.0,Certified,4.574352,2.527549,16.0,2017-06-13 00:00,14.7,2017-06-12 00:00,13.7,2017-06-11 00:00,13.6,2017-05-18 00:00,,,,,13.6,11.5,9.4,7.9,5.7,4.2,1.7,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,365,0,0,,,Certified,4.574352,2.527549,16.0,2017-06-13 00:00,14.7,2017-06-12 00:00,13.7,2017-06-11 00:00,13.6,2017-05-18 00:00,,,,,13.6,11.5,9.4,7.9,5.7,4.2,1.7,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,365,0,0,,,Certified,4.574352,2.527549,16.0,2017-06-13 00:00,14.7,2017-06-12 00:00,13.7,2017-06-11 00:00,13.6,2017-05-18 00:00,,,,,13.6,11.5,9.4,7.9,5.7,4.2,1.7,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,365,0,0,1.0,1.0,Certified,4.574352,2.527549,16.0,2017-06-13 00:00,14.7,2017-06-12 00:00,13.7,2017-06-11 00:00,13.6,2017-05-18 00:00,,,,,13.6,11.5,9.4,7.9,5.7,4.2,1.7,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,2,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,2,0.0,0.0,Certified,4.676271,2.591055,14.2,2017-06-12 00:00,11.6,2017-07-12 00:00,10.4,2017-06-30 00:00,9.7,2017-05-19 00:00,,,,,14.2,11.6,10.4,9.2,5.5,4.1,1.9,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
