state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
46,011,0003,44201,3,44.348604,-96.807299,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,8697,100.0,Y,122,122,0,63,0.0,0.0,Uncertified (past due),0.045533,0.010219,0.08,2011-06-20 23:00,0.075,2011-10-05 12:00,0.072,2011-06-06 13:00,0.07,2011-06-21 00:00,,,,,0.075,0.072,0.067,0.061,0.056,0.052,0.048,Research Farm,"3714 Western Ave, Brookings, SD  57006",South Dakota,Brookings,,15100,"Brookings, SD",2021-11-30
46,011,0003,44201,3,44.348604,-96.807299,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,8751,100.0,Y,122,122,0,0,0.0,0.0,Uncertified (past due),0.041246,0.00904,0.069,2011-06-06 10:00,0.069,2011-10-05 10:00,0.064,2011-06-29 12:00,0.064,2011-10-03 11:00,,,,,0.069,0.064,0.06,0.056,0.051,0.049,0.044,Research Farm,"3714 Western Ave, Brookings, SD  57006",South Dakota,Brookings,,15100,"Brookings, SD",2021-11-30
46,011,0003,44201,3,44.348604,-96.807299,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,8751,100.0,Y,122,122,0,0,0.0,0.0,Uncertified (past due),0.041246,0.00904,0.069,2011-06-06 10:00,0.069,2011-10-05 10:00,0.064,2011-06-29 12:00,0.064,2011-10-03 11:00,,,,,0.069,0.064,0.06,0.056,0.051,0.049,0.044,Research Farm,"3714 Western Ave, Brookings, SD  57006",South Dakota,Brookings,,15100,"Brookings, SD",2021-11-30
46,011,0002,81102,1,44.310283,-96.80071,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),Concurred Events Excluded,69,93.0,N,57,61,1,1,1.0,1.0,Uncertified (past due),23.869565,20.70089,161.0,2011-10-06 00:00,57.0,2011-11-05 00:00,53.0,2011-06-02 00:00,46.0,2011-09-06 00:00,,,,,161.0,57.0,46.0,41.0,30.0,19.0,8.0,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,81102,1,44.310283,-96.80071,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),Events Included,69,93.0,N,57,61,1,1,1.0,1.0,Uncertified (past due),23.869565,20.70089,161.0,2011-10-06 00:00,57.0,2011-11-05 00:00,53.0,2011-06-02 00:00,46.0,2011-09-06 00:00,,,,,161.0,57.0,46.0,41.0,30.0,19.0,8.0,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,81102,1,44.310283,-96.80071,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),Events Excluded,68,93.0,N,57,61,0,1,0.0,0.0,Uncertified (past due),21.852941,12.252645,57.0,2011-11-05 00:00,53.0,2011-06-02 00:00,46.0,2011-09-06 00:00,43.0,2011-07-20 00:00,,,,,57.0,53.0,43.0,40.0,30.0,19.0,7.0,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,81102,3,44.310283,-96.80071,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2011,Micrograms/cubic meter (25 C),No Events,24,7.0,N,24,365,0,0,0.0,0.0,Uncertified (past due),15.5,7.862957,37.0,2011-12-12 00:00,37.0,2011-12-13 00:00,22.0,2011-12-23 00:00,21.0,2011-12-28 00:00,,,,,37.0,37.0,37.0,22.0,17.0,16.0,7.0,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,2,0.0,0.0,Uncertified (past due),7.915833,3.818685,20.0,2011-05-09 00:00,19.6,2011-11-23 00:00,18.4,2011-03-04 00:00,18.1,2011-12-11 00:00,,,,,19.6,18.4,16.6,13.8,9.6,7.2,3.9,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,2,,,Uncertified (past due),7.915833,3.818685,20.0,2011-05-09 00:00,19.6,2011-11-23 00:00,18.4,2011-03-04 00:00,18.1,2011-12-11 00:00,,,,,19.6,18.4,16.6,13.8,9.6,7.2,3.9,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,81102,3,44.310283,-96.80071,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,T A Series FH 62 C14 Continuous - Beta Attenuation,2011,Micrograms/cubic meter (25 C),No Events,576,7.0,N,24,365,0,0,,,Uncertified (past due),15.970486,19.650799,154.0,2011-12-09 19:00,131.0,2011-12-21 08:00,129.0,2011-12-27 21:00,125.0,2011-12-30 00:00,,,,,106.0,77.0,49.0,36.0,19.0,12.0,1.0,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,2,0.0,0.0,Uncertified (past due),7.915833,3.818685,20.0,2011-05-09 00:00,19.6,2011-11-23 00:00,18.4,2011-03-04 00:00,18.1,2011-12-11 00:00,,,,,19.6,18.4,16.6,13.8,9.6,7.2,3.9,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,2,,,Uncertified (past due),7.915833,3.818685,20.0,2011-05-09 00:00,19.6,2011-11-23 00:00,18.4,2011-03-04 00:00,18.1,2011-12-11 00:00,,,,,19.6,18.4,16.6,13.8,9.6,7.2,3.9,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0003,44201,3,44.348604,-96.807299,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,6197,100.0,Y,122,122,0,0,0.0,0.0,Uncertified (past due),0.041049,0.009105,0.069,2011-06-06 10:00,0.069,2011-10-05 10:00,0.064,2011-06-29 12:00,0.064,2011-10-03 11:00,,,,,0.069,0.064,0.06,0.056,0.051,0.049,0.044,Research Farm,"3714 Western Ave, Brookings, SD  57006",South Dakota,Brookings,,15100,"Brookings, SD",2021-11-30
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,2,0.0,0.0,Uncertified (past due),7.915833,3.818685,20.0,2011-05-09 00:00,19.6,2011-11-23 00:00,18.4,2011-03-04 00:00,18.1,2011-12-11 00:00,,,,,19.6,18.4,16.6,13.8,9.6,7.2,3.9,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,2,,,Uncertified (past due),7.915833,3.818685,20.0,2011-05-09 00:00,19.6,2011-11-23 00:00,18.4,2011-03-04 00:00,18.1,2011-12-11 00:00,,,,,19.6,18.4,16.6,13.8,9.6,7.2,3.9,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,013,0003,81102,1,45.4625,-98.486111,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),No Events,58,95.0,Y,58,61,0,3,0.0,0.0,Uncertified (past due),15.758621,12.111051,93.0,2011-10-06 00:00,29.0,2011-08-01 00:00,28.0,2011-08-25 00:00,28.0,2011-09-12 00:00,,,,,93.0,29.0,28.0,23.0,19.0,15.0,6.0,ON TOP OF THE FIRE STATION #1 ROOF,111 2ND AVE SE FIRE STATION #1 ABERDEEN,South Dakota,Brown,Aberdeen,10100,"Aberdeen, SD",2021-11-08
46,013,0003,88101,1,45.4625,-98.486111,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,120,100.0,Y,61,61,0,18,0.0,0.0,Uncertified (past due),7.061667,3.740179,18.2,2011-04-09 00:00,17.7,2011-12-14 00:00,15.6,2011-03-31 00:00,15.4,2011-01-27 00:00,,,,,18.2,17.7,15.4,14.2,12.4,8.7,6.5,ON TOP OF THE FIRE STATION #1 ROOF,111 2ND AVE SE FIRE STATION #1 ABERDEEN,South Dakota,Brown,Aberdeen,10100,"Aberdeen, SD",2021-11-08
46,013,0003,88101,1,45.4625,-98.486111,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,120,100.0,Y,61,61,0,18,,,Uncertified (past due),7.061667,3.740179,18.2,2011-04-09 00:00,17.7,2011-12-14 00:00,15.6,2011-03-31 00:00,15.4,2011-01-27 00:00,,,,,18.2,17.7,15.4,14.2,12.4,8.7,6.5,ON TOP OF THE FIRE STATION #1 ROOF,111 2ND AVE SE FIRE STATION #1 ABERDEEN,South Dakota,Brown,Aberdeen,10100,"Aberdeen, SD",2021-11-08
