state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
48,029,0059,42602,1,29.275381,-98.311692,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8544,98.0,Y,363,365,0,215,0.0,,Certified,12.484848,8.498077,39.0,2006-12-14 07:00,38.0,2006-01-06 18:00,36.0,2006-02-03 05:00,35.0,2006-02-12 00:00,,,,,35.0,34.0,30.0,26.0,18.0,10.0,4.0,Calaveras Lake,14620 Laguna Rd,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-09
48,029,0052,42602,1,29.632058,-98.564936,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8466,97.0,Y,357,365,0,282,0.0,,Requested but denied,9.848739,5.544972,30.0,2006-11-17 09:00,28.0,2006-12-06 06:00,28.0,2006-12-08 22:00,28.0,2006-12-09 00:00,,,,,28.0,24.0,21.0,18.0,13.0,9.0,4.0,Camp Bullis,F Range (1000Yd marker off Wilderness Trail),Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-09
48,029,0046,42602,1,29.426944,-98.486389,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8552,98.0,Y,364,365,0,208,0.0,,Requested but denied,28.708791,12.077018,69.0,2006-09-07 20:00,62.0,2006-12-12 18:00,61.0,2006-12-13 18:00,60.0,2006-01-03 11:00,,,,,60.0,53.0,49.0,46.0,37.0,27.0,14.0,SAN ANTONIO DOWNTOWN  CAMS 27,615 EAST HOUSTON STREET,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-09
48,029,0046,42101,1,29.426944,-98.486389,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2006,Parts per million,No Events,8646,99.0,Y,365,365,0,114,0.0,0.0,Certified,0.51396,0.257358,4.1,2006-05-08 18:00,3.6,2006-12-14 23:00,3.4,2006-12-15 00:00,3.3,2006-12-14 21:00,,,,,1.3,1.2,0.9,0.8,0.6,0.5,0.3,SAN ANTONIO DOWNTOWN  CAMS 27,615 EAST HOUSTON STREET,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-08
48,029,0046,42101,1,29.426944,-98.486389,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8709,99.0,Y,365,365,0,0,0.0,0.0,Certified,0.517637,0.221929,3.0,2006-12-15 02:00,3.0,2006-12-15 03:00,2.9,2006-12-15 04:00,2.8,2006-12-15 01:00,3.0,2006-12-15 02:00,2.4,2006-12-13 01:00,1.2,1.1,0.9,0.8,0.6,0.5,0.3,SAN ANTONIO DOWNTOWN  CAMS 27,615 EAST HOUSTON STREET,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-08
48,029,0059,42602,1,29.275381,-98.311692,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8544,98.0,Y,363,365,0,215,,,Certified,4.649579,5.07233,39.0,2006-12-14 07:00,38.0,2006-01-06 18:00,36.0,2006-02-03 05:00,35.0,2006-02-12 00:00,,,,,26.0,22.0,15.0,10.0,6.0,3.0,1.0,Calaveras Lake,14620 Laguna Rd,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-09
48,029,0052,42602,1,29.632058,-98.564936,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8466,97.0,Y,357,365,0,282,,,Requested but denied,4.181786,3.368125,30.0,2006-11-17 09:00,28.0,2006-12-06 06:00,28.0,2006-12-08 22:00,28.0,2006-12-09 00:00,,,,,17.0,14.0,11.0,8.0,5.0,3.0,1.0,Camp Bullis,F Range (1000Yd marker off Wilderness Trail),Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-09
48,029,0046,42602,1,29.426944,-98.486389,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8552,98.0,Y,364,365,0,208,,,Requested but denied,14.758887,9.932757,69.0,2006-09-07 20:00,68.0,2006-09-07 21:00,68.0,2006-09-07 22:00,62.0,2006-12-12 18:00,,,,,45.0,42.0,35.0,29.0,20.0,12.0,4.0,SAN ANTONIO DOWNTOWN  CAMS 27,615 EAST HOUSTON STREET,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-09
48,029,0059,44201,1,29.275381,-98.311692,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,8678,100.0,Y,244,245,0,81,0.0,0.0,Certified,0.05234,0.014721,0.09,2006-06-28 17:00,0.088,2006-09-07 17:00,0.087,2006-06-14 17:00,0.087,2006-06-27 17:00,,,,,0.087,0.087,0.075,0.072,0.064,0.054,0.045,Calaveras Lake,14620 Laguna Rd,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-12-26
48,029,0052,44201,1,29.632058,-98.564936,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,8644,99.0,Y,243,245,0,104,0.0,0.0,Requested but denied,0.055947,0.016422,0.104,2006-06-13 16:00,0.097,2006-06-28 17:00,0.096,2006-06-08 14:00,0.094,2006-06-14 14:00,,,,,0.096,0.094,0.087,0.081,0.066,0.054,0.045,Camp Bullis,F Range (1000Yd marker off Wilderness Trail),Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-12-26
