state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,7805,75.0,Y,115,153,0,955,0.0,0.0,Uncertified (past due),0.058426,0.007365,0.076,2011-08-08 15:00,0.076,2011-08-26 13:00,0.073,2011-08-17 12:00,0.072,2011-08-06 14:00,,,,,0.076,0.073,0.071,0.068,0.063,0.059,0.054,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-12-01
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,7811,75.0,Y,114,153,0,0,0.0,0.0,Uncertified (past due),0.054421,0.006482,0.07,2011-08-26 10:00,0.067,2011-08-08 11:00,0.067,2011-08-25 10:00,0.066,2011-07-29 11:00,,,,,0.067,0.067,0.066,0.064,0.058,0.056,0.051,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-12-01
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,7811,75.0,Y,114,153,0,0,0.0,0.0,Uncertified (past due),0.054421,0.006482,0.07,2011-08-26 10:00,0.067,2011-08-08 11:00,0.067,2011-08-25 10:00,0.066,2011-07-29 11:00,,,,,0.067,0.067,0.066,0.064,0.058,0.056,0.051,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-12-01
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,5533,75.0,Y,115,153,0,0,0.0,0.0,Uncertified (past due),0.054261,0.006628,0.07,2011-08-26 10:00,0.067,2011-08-08 11:00,0.067,2011-08-25 10:00,0.066,2011-07-29 11:00,,,,,0.067,0.067,0.066,0.064,0.058,0.055,0.051,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-12-01
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,4113,96.0,Y,147,153,0,279,0.0,0.0,Uncertified (past due),0.056449,0.008151,0.081,2011-08-23 14:00,0.076,2011-07-02 14:00,0.076,2011-08-13 16:00,0.075,2011-06-27 15:00,,,,,0.076,0.076,0.071,0.067,0.062,0.057,0.049,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-01
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4154,95.0,Y,145,153,0,0,0.0,0.0,Uncertified (past due),0.050614,0.006699,0.066,2011-08-23 11:00,0.065,2011-08-13 11:00,0.065,2011-08-24 11:00,0.063,2011-06-04 13:00,,,,,0.065,0.065,0.063,0.06,0.055,0.051,0.046,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-01
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4154,95.0,Y,145,153,0,0,0.0,0.0,Uncertified (past due),0.050614,0.006699,0.066,2011-08-23 11:00,0.065,2011-08-13 11:00,0.065,2011-08-24 11:00,0.063,2011-06-04 13:00,,,,,0.065,0.065,0.063,0.06,0.055,0.051,0.046,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-01
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,2943,95.0,Y,145,153,0,0,0.0,0.0,Uncertified (past due),0.050462,0.006762,0.066,2011-08-23 11:00,0.065,2011-08-13 11:00,0.065,2011-08-24 11:00,0.063,2011-06-04 13:00,,,,,0.065,0.065,0.063,0.06,0.055,0.051,0.045,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-01
49,003,0003,88101,1,41.492707,-112.018863,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,118,98.0,Y,118,121,0,2,3.0,3.0,Uncertified (past due),7.639831,9.105208,57.5,2011-01-06 00:00,56.6,2011-01-15 00:00,35.6,2011-01-09 00:00,28.8,2011-12-17 00:00,,,,,56.6,35.6,23.7,17.9,7.8,4.8,1.7,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,0003,88101,1,41.492707,-112.018863,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,118,98.0,Y,118,121,0,2,,,Uncertified (past due),7.639831,9.105208,57.5,2011-01-06 00:00,56.6,2011-01-15 00:00,35.6,2011-01-09 00:00,28.8,2011-12-17 00:00,,,,,56.6,35.6,23.7,17.9,7.8,4.8,1.7,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-11-08
