state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
50,003,0004,44201,1,42.88759,-73.24984,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,8084,99.0,Y,182,183,0,676,0.0,0.0,Certified,0.04194,0.01032,0.073,2017-04-10 18:00,0.071,2017-04-11 15:00,0.07,2017-05-17 13:00,0.069,2017-06-12 11:00,,,,,0.071,0.069,0.061,0.057,0.052,0.046,0.04,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,44201,1,42.88759,-73.24984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8457,99.0,Y,181,183,0,0,0.0,0.0,Certified,0.037807,0.01016,0.071,2017-04-10 15:00,0.068,2017-04-11 09:00,0.066,2017-06-12 10:00,0.065,2017-04-15 10:00,,,,,0.068,0.065,0.057,0.052,0.048,0.043,0.037,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,44201,1,42.88759,-73.24984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8457,99.0,Y,181,183,0,0,0.0,0.0,Certified,0.037807,0.01016,0.071,2017-04-10 15:00,0.068,2017-04-11 09:00,0.066,2017-06-12 10:00,0.065,2017-04-15 10:00,,,,,0.068,0.065,0.057,0.052,0.048,0.043,0.037,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,44201,1,42.88759,-73.24984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,5978,98.0,Y,180,183,0,0,1.0,1.0,Certified,0.037411,0.010313,0.071,2017-04-10 15:00,0.068,2017-04-11 09:00,0.066,2017-06-12 10:00,0.065,2017-04-15 10:00,,,,,0.068,0.065,0.057,0.052,0.048,0.042,0.037,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,3,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,8092,92.0,Y,350,365,0,668,,,Certified,5.341176,3.836945,41.7,2017-09-23 20:00,29.0,2017-09-23 21:00,28.4,2017-12-04 00:00,26.4,2017-09-05 12:00,,,,,17.4,15.2,12.6,10.4,7.3,4.6,1.2,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,3,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,331,91.0,N,331,365,0,0,0.0,0.0,Certified,5.315408,3.117123,18.3,2017-12-04 00:00,17.1,2017-08-10 00:00,16.0,2017-11-14 00:00,15.5,2017-09-05 00:00,,,,,15.5,13.5,11.7,9.5,7.2,4.6,2.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,3,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,331,91.0,N,331,365,0,0,,,Certified,5.315408,3.117123,18.3,2017-12-04 00:00,17.1,2017-08-10 00:00,16.0,2017-11-14 00:00,15.5,2017-09-05 00:00,,,,,15.5,13.5,11.7,9.5,7.2,4.6,2.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,3,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,331,91.0,N,331,365,0,0,0.0,0.0,Certified,5.315408,3.117123,18.3,2017-12-04 00:00,17.1,2017-08-10 00:00,16.0,2017-11-14 00:00,15.5,2017-09-05 00:00,,,,,15.5,13.5,11.7,9.5,7.2,4.6,2.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,3,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,331,91.0,N,331,365,0,0,,,Certified,5.315408,3.117123,18.3,2017-12-04 00:00,17.1,2017-08-10 00:00,16.0,2017-11-14 00:00,15.5,2017-09-05 00:00,,,,,15.5,13.5,11.7,9.5,7.2,4.6,2.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,3,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,331,91.0,N,331,365,0,0,,,Certified,5.315408,3.117123,18.3,2017-12-04 00:00,17.1,2017-08-10 00:00,16.0,2017-11-14 00:00,15.5,2017-09-05 00:00,,,,,15.5,13.5,11.7,9.5,7.2,4.6,2.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
