state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
78,010,0006,42401,1,17.704974,-64.780146,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8204,94.0,Y,354,365,0,556,3.0,,Uncertified (past due),10.317232,21.443075,277.3,2006-03-01 03:00,214.0,2006-02-26 06:00,153.8,2006-12-15 02:00,62.9,2006-03-22 02:00,,,,,62.9,42.4,29.8,19.1,11.3,6.6,0.2,,WEST GATE MARTIN MARIETTA ALUMINA,Virgin Islands,St Croix,,,,2021-11-09
78,010,0011,42401,1,17.717197,-64.77459,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8234,94.0,Y,358,365,0,526,3.0,,Uncertified (past due),6.932402,13.879895,169.2,2006-06-03 15:00,102.2,2006-06-06 06:00,75.8,2006-06-04 01:00,68.1,2006-06-07 09:00,,,,,68.1,42.1,22.9,14.6,8.4,3.1,0.1,,"ESTATE ANGUILLA, THE RUINS",Virgin Islands,St Croix,,,,2021-11-09
78,010,0013,42401,1,17.72053,-64.776257,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8293,95.0,Y,362,365,0,467,2.0,,Uncertified (past due),5.940331,20.529991,348.9,2006-05-17 11:00,117.2,2006-06-03 15:00,52.6,2006-06-06 17:00,52.3,2006-03-25 11:00,,,,,52.3,38.7,17.2,12.3,6.1,1.7,0.1,"STATION # 3, ESTATE CLIFTON HILL","PLOT 25, ESTATE CLIFTON HILL",Virgin Islands,St Croix,,,,2021-11-09
78,010,0014,42401,1,17.732473,-64.782923,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8228,94.0,Y,357,365,0,532,0.0,,Uncertified (past due),1.911204,3.862123,36.6,2006-05-23 17:00,25.5,2006-02-13 14:00,23.4,2006-05-29 10:00,21.9,2006-06-06 15:00,,,,,21.9,14.5,8.6,5.0,1.5,0.6,0.1,"STATION # 4, BARREN SPOT",PLOT 487 ESTATE BARREN SPOT,Virgin Islands,St Croix,,,,2021-11-09
78,010,0015,42401,1,17.739696,-64.751533,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8283,95.0,Y,361,365,0,477,0.0,,Uncertified (past due),1.66482,3.57287,32.6,2006-05-23 17:00,25.3,2006-02-13 14:00,23.2,2006-06-06 15:00,19.8,2006-06-04 09:00,,,,,19.8,10.8,7.5,4.1,1.5,0.5,0.0,"STATION #5, ESTATE RUBY",PLOT 214 ESTATE RUBY,Virgin Islands,St Croix,,,,2021-11-09
78,010,0006,42401,1,17.704974,-64.780146,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2462,84.0,Y,342,365,0,0,,0.0,Uncertified (past due),2.479894,5.49765,162.1,2006-03-01 02:00,102.8,2006-12-15 02:00,91.9,2006-02-26 08:00,36.0,2006-07-10 20:00,,,,,16.8,13.5,8.9,6.2,3.2,1.0,0.0,,WEST GATE MARTIN MARIETTA ALUMINA,Virgin Islands,St Croix,,,,2021-11-09
78,010,0011,42401,1,17.717197,-64.77459,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2473,85.0,Y,336,365,0,0,,0.0,Uncertified (past due),1.716256,5.403167,129.2,2006-06-03 17:00,77.4,2006-06-03 23:00,65.4,2006-06-06 08:00,63.7,2006-06-03 20:00,,,,,21.2,14.2,8.1,4.8,1.3,0.0,0.0,,"ESTATE ANGUILLA, THE RUINS",Virgin Islands,St Croix,,,,2021-11-09
78,010,0013,42401,1,17.72053,-64.776257,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2510,86.0,Y,356,365,0,0,,0.0,Uncertified (past due),1.372151,4.665742,123.4,2006-05-17 11:00,93.5,2006-06-03 17:00,54.9,2006-06-03 23:00,44.2,2006-06-03 20:00,,,,,17.8,11.6,6.1,3.7,0.9,0.1,0.0,"STATION # 3, ESTATE CLIFTON HILL","PLOT 25, ESTATE CLIFTON HILL",Virgin Islands,St Croix,,,,2021-11-09
78,010,0014,42401,1,17.732473,-64.782923,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2477,85.0,Y,340,365,0,0,,0.0,Uncertified (past due),0.357408,1.241426,20.7,2006-05-23 17:00,19.9,2006-02-13 14:00,16.7,2006-05-29 11:00,14.8,2006-06-04 11:00,,,,,5.8,3.5,1.6,0.7,0.2,0.0,0.0,"STATION # 4, BARREN SPOT",PLOT 487 ESTATE BARREN SPOT,Virgin Islands,St Croix,,,,2021-11-09
78,010,0015,42401,1,17.739696,-64.751533,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2505,86.0,Y,354,365,0,0,,0.0,Uncertified (past due),0.291896,1.209881,22.0,2006-05-23 17:00,20.0,2006-02-13 14:00,15.1,2006-06-06 14:00,14.9,2006-06-04 11:00,,,,,5.4,3.2,1.4,0.6,0.1,0.0,0.0,"STATION #5, ESTATE RUBY",PLOT 214 ESTATE RUBY,Virgin Islands,St Croix,,,,2021-11-09
