state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
51,003,0001,44201,1,38.07657,-78.50397,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5055,100.0,Y,214,214,0,81,0.0,0.0,Certified,0.049383,0.011893,0.078,2011-06-09 13:00,0.076,2011-07-22 11:00,0.074,2011-07-01 10:00,0.073,2011-05-31 13:00,,,,,0.074,0.073,0.068,0.064,0.058,0.051,0.033,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-12-01
51,003,0001,44201,1,38.07657,-78.50397,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5108,100.0,Y,213,214,0,0,0.0,0.0,Certified,0.044399,0.011475,0.072,2011-07-01 10:00,0.068,2011-05-31 10:00,0.068,2011-06-02 10:00,0.067,2011-08-01 09:00,,,,,0.068,0.066,0.061,0.059,0.052,0.046,0.028,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-12-01
51,003,0001,44201,1,38.07657,-78.50397,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5108,100.0,Y,213,214,0,0,0.0,0.0,Certified,0.044399,0.011475,0.072,2011-07-01 10:00,0.068,2011-05-31 10:00,0.068,2011-06-02 10:00,0.067,2011-08-01 09:00,,,,,0.068,0.066,0.061,0.059,0.052,0.046,0.028,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-12-01
51,003,0001,44201,1,38.07657,-78.50397,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3626,100.0,Y,213,214,0,0,1.0,1.0,Certified,0.044333,0.01162,0.072,2011-07-01 10:00,0.068,2011-05-31 10:00,0.068,2011-06-02 10:00,0.067,2011-08-01 09:00,,,,,0.068,0.066,0.061,0.059,0.052,0.046,0.028,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-12-01
51,003,0001,88101,1,38.07657,-78.50397,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,118,98.0,Y,118,121,0,3,0.0,0.0,Uncertified (past due),8.488983,4.217906,23.6,2011-06-08 00:00,20.0,2011-08-13 00:00,19.2,2011-07-20 00:00,18.5,2011-07-29 00:00,,,,,20.0,19.2,16.9,14.5,10.6,7.7,3.8,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-11-08
51,003,0001,88101,1,38.07657,-78.50397,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,118,98.0,Y,118,121,0,3,,,Uncertified (past due),8.488983,4.217906,23.6,2011-06-08 00:00,20.0,2011-08-13 00:00,19.2,2011-07-20 00:00,18.5,2011-07-29 00:00,,,,,20.0,19.2,16.9,14.5,10.6,7.7,3.8,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-11-08
51,003,0001,88101,1,38.07657,-78.50397,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,118,98.0,Y,118,121,0,3,0.0,0.0,Uncertified (past due),8.488983,4.217906,23.6,2011-06-08 00:00,20.0,2011-08-13 00:00,19.2,2011-07-20 00:00,18.5,2011-07-29 00:00,,,,,20.0,19.2,16.9,14.5,10.6,7.7,3.8,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-11-08
51,003,0001,88101,1,38.07657,-78.50397,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,118,98.0,Y,118,121,0,3,,,Uncertified (past due),8.488983,4.217906,23.6,2011-06-08 00:00,20.0,2011-08-13 00:00,19.2,2011-07-20 00:00,18.5,2011-07-29 00:00,,,,,20.0,19.2,16.9,14.5,10.6,7.7,3.8,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-11-08
51,003,0001,88101,1,38.07657,-78.50397,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,118,98.0,Y,118,121,0,3,0.0,0.0,Uncertified (past due),8.488983,4.217906,23.6,2011-06-08 00:00,20.0,2011-08-13 00:00,19.2,2011-07-20 00:00,18.5,2011-07-29 00:00,,,,,20.0,19.2,16.9,14.5,10.6,7.7,3.8,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-11-08
51,003,0001,88101,1,38.07657,-78.50397,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,118,98.0,Y,118,121,0,3,,,Uncertified (past due),8.488983,4.217906,23.6,2011-06-08 00:00,20.0,2011-08-13 00:00,19.2,2011-07-20 00:00,18.5,2011-07-29 00:00,,,,,20.0,19.2,16.9,14.5,10.6,7.7,3.8,Albemarle High School,"Lambs Lane, behind Albemarle High School Athletic Field",Virginia,Albemarle,,16820,"Charlottesville, VA",2021-11-08
