state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
53,003,0004,81102,1,46.425416,-117.060445,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,54,89.0,Y,54,61,0,0,0.0,0,Uncertified (past due),24.574074,15.402281,78.0,2006-09-12 00:00,63.0,2006-08-21 00:00,52.0,2006-05-17 00:00,49.0,2006-10-14 00:00,,,,,78.0,63.0,52.0,39.0,34.0,24.0,8.0,CLARKSTON - 13TH ST,13TH ST AND PORT WAY (CLARKSTON STP),Washington,Asotin,Clarkston,30300,"Lewiston, ID-WA",2021-11-08
53,005,0002,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,1718,20.0,N,68,365,0,0,,,Uncertified (past due),14.793946,20.172885,444.0,2006-10-29 09:00,338.0,2006-10-29 12:00,291.0,2006-10-29 10:00,277.0,2006-10-29 11:00,,,,,56.0,44.0,37.0,30.0,18.0,11.0,4.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2006,Micrograms/cubic meter (25 C),No Events,68,19.0,N,68,365,0,0,0.0,0.0,Uncertified (past due),14.176471,11.810622,88.0,2006-10-29 00:00,36.0,2006-09-29 00:00,32.0,2006-09-28 00:00,31.0,2006-10-03 00:00,,,,,88.0,36.0,31.0,27.0,17.0,12.0,6.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,1,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Events Excluded,330,91.0,Y,333,365,0,0,0.0,0.0,Uncertified (past due),20.418182,15.372605,90.0,2006-09-08 00:00,85.0,2006-08-29 00:00,84.0,2006-08-21 00:00,83.0,2006-07-28 00:00,,,,,83.0,64.0,49.0,39.0,27.0,16.0,5.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,1,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Events Included,333,91.0,Y,333,365,3,0,3.0,3.0,Uncertified (past due),22.024024,23.044993,251.0,2006-05-18 00:00,173.0,2006-02-23 00:00,172.0,2006-04-29 00:00,90.0,2006-09-08 00:00,,,,,90.0,83.0,51.0,40.0,27.0,16.0,6.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,1,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Concurred Events Excluded,330,91.0,Y,333,365,0,0,0.0,0.0,Uncertified (past due),20.418182,15.372605,90.0,2006-09-08 00:00,85.0,2006-08-29 00:00,84.0,2006-08-21 00:00,83.0,2006-07-28 00:00,,,,,83.0,64.0,49.0,39.0,27.0,16.0,5.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,009,0013,44201,1,48.29786,-124.62491,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,5117,87.0,Y,133,153,0,0,0.0,0,Uncertified (past due),0.035985,0.00854,0.06,2006-09-03 01:00,0.058,2006-08-20 02:00,0.057,2006-09-02 21:00,0.056,2006-06-24 23:00,,,,,0.058,0.057,0.053,0.049,0.043,0.041,0.037,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-12-27
53,009,0013,44201,1,48.29786,-124.62491,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5178,86.0,Y,131,153,0,0,0.0,0,Uncertified (past due),0.033198,0.007814,0.054,2006-09-02 18:00,0.053,2006-06-24 22:00,0.053,2006-08-19 21:00,0.051,2006-09-03 00:00,,,,,0.053,0.053,0.049,0.045,0.041,0.038,0.035,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-12-27
53,009,0013,44201,1,48.29786,-124.62491,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5178,86.0,Y,131,153,0,0,0.0,0,Uncertified (past due),0.033198,0.007814,0.054,2006-09-02 18:00,0.053,2006-06-24 22:00,0.053,2006-08-19 21:00,0.051,2006-09-03 00:00,,,,,0.053,0.053,0.049,0.045,0.041,0.038,0.035,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-12-27
53,009,0013,44201,1,48.29786,-124.62491,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,3670,85.0,Y,130,153,0,0,0.0,0,Uncertified (past due),0.032423,0.00766,0.054,2006-09-02 18:00,0.053,2006-06-24 22:00,0.053,2006-08-19 21:00,0.049,2006-05-22 13:00,,,,,0.053,0.053,0.047,0.045,0.041,0.038,0.033,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-12-27
