state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
54,003,0003,44201,1,39.448105,-77.963845,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRAVIOLET ABSORPTION,2017,Parts per million,No Events,5761,100.0,Y,244,245,0,119,0.0,0.0,Certified,0.044398,0.009565,0.066,2017-05-17 14:00,0.065,2017-06-15 16:00,0.064,2017-04-11 15:00,0.063,2017-05-10 16:00,,,,,0.064,0.062,0.058,0.056,0.051,0.045,0.032,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,44201,1,39.448105,-77.963845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5654,100.0,Y,244,245,0,0,0.0,0.0,Certified,0.040119,0.00944,0.06,2017-04-11 10:00,0.06,2017-05-17 11:00,0.058,2017-06-15 12:00,0.057,2017-04-10 10:00,,,,,0.058,0.057,0.053,0.052,0.047,0.041,0.027,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,44201,1,39.448105,-77.963845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5654,100.0,Y,244,245,0,0,0.0,0.0,Certified,0.040119,0.00944,0.06,2017-04-11 10:00,0.06,2017-05-17 11:00,0.058,2017-06-15 12:00,0.057,2017-04-10 10:00,,,,,0.058,0.057,0.053,0.052,0.047,0.041,0.027,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,44201,1,39.448105,-77.963845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,4010,99.0,Y,242,245,0,0,0.0,0.0,Certified,0.040029,0.009623,0.06,2017-04-11 10:00,0.06,2017-05-17 11:00,0.058,2017-06-15 12:00,0.057,2017-04-10 10:00,,,,,0.058,0.057,0.053,0.052,0.047,0.041,0.027,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,0,0.0,0.0,Certified,8.52623,4.120656,22.8,2017-12-03 00:00,21.7,2017-12-18 00:00,20.9,2017-01-16 00:00,16.7,2017-11-18 00:00,,,,,21.7,20.9,14.6,13.6,11.0,8.0,3.7,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,0,,,Certified,8.52623,4.120656,22.8,2017-12-03 00:00,21.7,2017-12-18 00:00,20.9,2017-01-16 00:00,16.7,2017-11-18 00:00,,,,,21.7,20.9,14.6,13.6,11.0,8.0,3.7,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,0,0.0,0.0,Certified,8.52623,4.120656,22.8,2017-12-03 00:00,21.7,2017-12-18 00:00,20.9,2017-01-16 00:00,16.7,2017-11-18 00:00,,,,,21.7,20.9,14.6,13.6,11.0,8.0,3.7,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,0,,,Certified,8.52623,4.120656,22.8,2017-12-03 00:00,21.7,2017-12-18 00:00,20.9,2017-01-16 00:00,16.7,2017-11-18 00:00,,,,,21.7,20.9,14.6,13.6,11.0,8.0,3.7,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,0,0.0,0.0,Certified,8.52623,4.120656,22.8,2017-12-03 00:00,21.7,2017-12-18 00:00,20.9,2017-01-16 00:00,16.7,2017-11-18 00:00,,,,,21.7,20.9,14.6,13.6,11.0,8.0,3.7,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,0,,,Certified,8.52623,4.120656,22.8,2017-12-03 00:00,21.7,2017-12-18 00:00,20.9,2017-01-16 00:00,16.7,2017-11-18 00:00,,,,,21.7,20.9,14.6,13.6,11.0,8.0,3.7,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-08
