state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
55,003,0010,44201,1,46.60234,-90.65615,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,7946,91.0,Y,332,365,0,70,0.0,0.0,Uncertified (past due),0.039072,0.008952,0.069,2011-05-22 18:00,0.066,2011-10-07 00:00,0.065,2011-10-06 23:00,0.063,2011-10-10 12:00,,,,,0.063,0.057,0.054,0.051,0.045,0.039,0.028,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-12-01
55,003,0010,44201,1,46.60234,-90.65615,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,7954,91.0,Y,331,365,0,0,0.0,0.0,Uncertified (past due),0.036036,0.008693,0.061,2011-05-22 17:00,0.061,2011-10-06 22:00,0.06,2011-10-10 12:00,0.059,2011-10-07 13:00,,,,,0.059,0.055,0.051,0.048,0.042,0.036,0.025,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-12-01
55,003,0010,44201,1,46.60234,-90.65615,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,7954,91.0,Y,331,365,0,0,0.0,0.0,Uncertified (past due),0.036036,0.008693,0.061,2011-05-22 17:00,0.061,2011-10-06 22:00,0.06,2011-10-10 12:00,0.059,2011-10-07 13:00,,,,,0.059,0.055,0.051,0.048,0.042,0.036,0.025,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-12-01
55,003,0010,44201,1,46.60234,-90.65615,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,5636,90.0,Y,328,365,0,0,0.0,0.0,Uncertified (past due),0.035851,0.008764,0.061,2011-05-22 17:00,0.061,2011-10-06 22:00,0.06,2011-10-10 12:00,0.059,2011-10-07 13:00,,,,,0.059,0.055,0.05,0.048,0.042,0.036,0.025,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-12-01
55,003,0010,88101,2,46.60234,-90.65615,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,53,87.0,N,53,61,0,10,0.0,0.0,Uncertified (past due),5.537736,3.871306,19.6,2011-11-23 00:00,16.8,2011-12-11 00:00,12.9,2011-07-09 00:00,12.7,2011-05-09 00:00,,,,,19.6,16.8,12.9,10.0,7.8,4.2,2.1,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-11-08
55,003,0010,88101,2,46.60234,-90.65615,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,53,87.0,N,53,61,0,10,,,Uncertified (past due),5.537736,3.871306,19.6,2011-11-23 00:00,16.8,2011-12-11 00:00,12.9,2011-07-09 00:00,12.7,2011-05-09 00:00,,,,,19.6,16.8,12.9,10.0,7.8,4.2,2.1,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-11-08
55,003,0010,88101,2,46.60234,-90.65615,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,53,87.0,N,53,61,0,10,0.0,0.0,Uncertified (past due),5.537736,3.871306,19.6,2011-11-23 00:00,16.8,2011-12-11 00:00,12.9,2011-07-09 00:00,12.7,2011-05-09 00:00,,,,,19.6,16.8,12.9,10.0,7.8,4.2,2.1,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-11-08
55,003,0010,88101,2,46.60234,-90.65615,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,53,87.0,N,53,61,0,10,,,Uncertified (past due),5.537736,3.871306,19.6,2011-11-23 00:00,16.8,2011-12-11 00:00,12.9,2011-07-09 00:00,12.7,2011-05-09 00:00,,,,,19.6,16.8,12.9,10.0,7.8,4.2,2.1,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-11-08
55,003,0010,88101,2,46.60234,-90.65615,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,53,87.0,N,53,61,0,10,0.0,0.0,Uncertified (past due),5.537736,3.871306,19.6,2011-11-23 00:00,16.8,2011-12-11 00:00,12.9,2011-07-09 00:00,12.7,2011-05-09 00:00,,,,,19.6,16.8,12.9,10.0,7.8,4.2,2.1,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-11-08
55,003,0010,88101,2,46.60234,-90.65615,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,53,87.0,N,53,61,0,10,,,Uncertified (past due),5.537736,3.871306,19.6,2011-11-23 00:00,16.8,2011-12-11 00:00,12.9,2011-07-09 00:00,12.7,2011-05-09 00:00,,,,,19.6,16.8,12.9,10.0,7.8,4.2,2.1,BAD RIVER TRIBAL SCHOOL - ODANAH,BAD RIVER TRIBAL SCHOOL - ODANAH,Wisconsin,Ashland,,,,2021-11-08
