state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
56,001,0010,42602,1,41.30283,-105.586,NAD83,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2017,Parts per billion,No Events,5493,63.0,N,235,365,0,1011,,,Certified,6.731768,6.302728,51.7,2017-12-11 07:00,50.8,2017-12-11 08:00,45.7,2017-12-14 19:00,43.9,2017-10-10 19:00,,,,,31.1,26.2,19.9,15.0,8.6,4.4,2.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,42602,1,41.30283,-105.586,NAD83,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2017,Parts per billion,No Events,5493,63.0,N,235,365,0,1011,0.0,,Certified,18.825106,8.986234,51.7,2017-12-11 07:00,45.7,2017-12-14 19:00,43.9,2017-10-10 19:00,41.0,2017-12-13 07:00,,,,,43.9,40.3,38.3,33.0,23.0,17.6,9.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,42401,2,41.30283,-105.586,NAD83,Sulfur dioxide,H,5 MINUTE,,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,66855,64.0,N,231,365,0,11193,,,Certification not required,0.23914,0.26895,9.9,2017-10-11 10:30,9.4,2017-08-26 07:40,9.1,2017-10-24 08:15,8.8,2017-10-11 10:15,,,,,0.9,0.7,0.5,0.5,0.4,0.2,0.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,42401,1,41.30283,-105.586,NAD83,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,5705,65.0,N,233,365,0,799,,,Certified,0.235863,0.221045,3.3,2017-10-11 10:00,3.1,2017-08-30 09:00,3.1,2017-12-08 08:00,3.0,2017-10-24 08:00,,,,,0.9,0.7,0.5,0.4,0.3,0.3,0.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,42401,1,41.30283,-105.586,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,5705,65.0,N,233,365,0,799,0.0,,Certified,0.533906,0.561103,3.3,2017-10-11 10:00,3.1,2017-08-30 09:00,3.1,2017-12-08 08:00,3.0,2017-10-24 08:00,,,,,3.1,2.7,1.8,1.1,0.6,0.4,0.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,42401,1,41.30283,-105.586,NAD83,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2017,Parts per billion,No Events,233,64.0,N,233,365,0,0,0.0,,Certified,0.244206,0.170631,0.7,2017-09-04 00:00,0.6,2017-08-26 00:00,0.6,2017-08-30 00:00,0.6,2017-10-12 00:00,,,,,0.6,0.6,0.5,0.4,0.4,0.3,0.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,42401,1,41.30283,-105.586,NAD83,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2017,Parts per billion,No Events,1702,58.0,N,215,365,0,0,,0.0,Certified,0.215922,0.191406,1.6,2017-08-26 08:00,1.5,2017-12-08 08:00,1.4,2017-10-24 08:00,1.3,2017-08-30 11:00,,,,,0.8,0.7,0.5,0.4,0.3,0.3,0.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,88101,3,41.30283,-105.586,NAD83,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),Events Excluded,6218,71.0,N,265,365,0,262,,,Certified,4.690254,4.33645,91.0,2017-09-03 21:00,75.0,2017-09-03 20:00,65.0,2017-09-03 23:00,40.0,2017-09-03 19:00,,,,,20.0,17.0,12.0,9.0,6.0,4.0,1.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,88101,3,41.30283,-105.586,NAD83,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),Events Included,6242,71.0,N,265,365,24,262,,,Certified,4.900993,5.834699,100.0,2017-09-04 04:00,98.0,2017-09-04 06:00,97.0,2017-09-04 05:00,93.0,2017-09-04 07:00,,,,,22.0,18.0,12.0,9.0,6.0,4.0,1.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0010,88101,3,41.30283,-105.586,NAD83,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),Concurred Events Excluded,6242,71.0,N,265,365,24,262,,,Certified,4.900993,5.834699,100.0,2017-09-04 04:00,98.0,2017-09-04 06:00,97.0,2017-09-04 05:00,93.0,2017-09-04 07:00,,,,,22.0,18.0,12.0,9.0,6.0,4.0,1.0,Laramie Mobile,"998 Russell Street, Laramie, WY 82070",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
