"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Births	Average Birth Weight	Average LMP Gestational Age	Average OE Gestational Age
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2014"	"2014"	137	1995.255	34.241	34.051
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2015"	"2015"	141	1832.837	32.965	32.922
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2016"	"2016"	120	2008.358	34.467	34.058
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2017"	"2017"	100	2082.830	34.550	34.380
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	122	1942.303	33.762	33.508
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2019"	"2019"	99	2060.768	35.667	34.919
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2020"	"2020"	113	2025.478	35.637	34.982
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2021"	"2021"	120	1969.508	34.546	34.269
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2014"	"2014"	59	1972.661	34.305	34.475
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2015"	"2015"	65	1909.708	33.677	33.892
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2016"	"2016"	80	1960.275	35.100	34.250
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2017"	"2017"	82	1930.207	34.171	34.000
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	82	1869.524	32.975	33.185
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2019"	"2019"	73	2033.849	34.521	34.507
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2020"	"2020"	60	2095.500	35.567	35.483
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2021"	"2021"	54	2021.222	34.241	34.815
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2014"	"2014"	83	2020.759	34.964	35.072
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2015"	"2015"	52	1948.250	34.942	34.231
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2016"	"2016"	57	2031.649	35.193	34.860
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2017"	"2017"	71	2054.423	35.000	34.394
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	72	2039.111	34.250	34.097
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2019"	"2019"	54	1883.500	33.130	33.185
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2020"	"2020"	54	2054.167	35.315	34.537
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2021"	"2021"	40	2046.050	35.725	35.150
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2014"	"2014"	76	2009.329	34.474	34.605
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2015"	"2015"	82	1972.024	34.244	34.061
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2016"	"2016"	90	1983.633	34.756	34.000
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2017"	"2017"	70	1928.000	34.371	33.743
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	75	2002.267	34.693	34.387
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2019"	"2019"	83	1977.301	35.157	34.205
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2020"	"2020"	78	1966.808	33.846	34.000
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2021"	"2021"	82	1952.451	33.622	33.598
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	679	1949.872	34.212	34.156
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2015"	"2015"	687	1940.866	34.098	34.068
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2016"	"2016"	681	1903.761	33.951	33.633
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2017"	"2017"	709	1947.176	34.280	34.059
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	662	1929.279	34.134	34.045
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2019"	"2019"	570	1959.763	34.133	34.040
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2020"	"2020"	558	1951.084	34.273	34.102
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2021"	"2021"	507	1945.606	34.193	33.933
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2014"	"2014"	89	2049.124	34.955	34.494
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2015"	"2015"	99	1953.253	34.333	33.929
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2016"	"2016"	113	2008.761	34.469	34.336
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2017"	"2017"	115	2023.539	34.817	34.365
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	107	1993.187	34.748	34.579
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2019"	"2019"	101	2019.832	34.624	34.554
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2020"	"2020"	107	1953.439	33.972	34.065
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2021"	"2021"	110	1949.245	34.355	34.009
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2014"	"2014"	237	2001.228	34.215	34.169
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2015"	"2015"	244	1985.635	34.250	33.992
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2016"	"2016"	217	1986.502	34.415	34.005
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2017"	"2017"	222	2022.887	34.347	34.095
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	242	2023.798	34.384	34.393
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2019"	"2019"	257	2008.615	34.727	34.551
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2020"	"2020"	278	2024.878	35.165	34.450
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2021"	"2021"	242	1984.409	34.574	33.847
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2014"	"2014"	412	1874.216	33.515	33.296
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2015"	"2015"	467	1973.188	34.390	34.002
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2016"	"2016"	466	1881.966	33.747	33.277
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2017"	"2017"	394	1987.409	34.378	34.162
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	481	1947.800	34.212	33.859
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2019"	"2019"	355	1918.104	33.868	33.713
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2020"	"2020"	352	1985.568	34.145	34.088
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2021"	"2021"	294	1954.204	33.915	33.799
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2014"	"2014"	279	1928.735	33.846	33.688
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2015"	"2015"	293	2007.662	34.249	34.437
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2016"	"2016"	249	1921.000	34.056	33.755
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2017"	"2017"	258	1988.791	34.682	34.419
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2018"	"2018"	273	1980.011	34.396	34.121
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2019"	"2019"	287	1958.955	34.164	34.038
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2020"	"2020"	244	1966.205	34.357	34.139
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2021"	"2021"	273	1921.476	34.326	33.579
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2014"	"2014"	62	1957.629	33.758	33.516
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2015"	"2015"	53	2033.283	35.547	34.264
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2016"	"2016"	72	1976.417	33.764	34.222
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2017"	"2017"	64	1876.078	33.625	33.188
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2018"	"2018"	66	2051.864	34.833	34.955
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2019"	"2019"	61	2097.377	35.131	35.033
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2020"	"2020"	66	2068.106	34.879	34.515
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2021"	"2021"	71	2074.408	35.070	34.620
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2014"	"2014"	100	2077.610	35.120	34.970
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2015"	"2015"	101	2012.941	34.851	34.782
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2016"	"2016"	103	1928.942	34.126	33.816
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2017"	"2017"	99	1882.778	33.576	33.657
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2018"	"2018"	122	2037.328	34.533	34.434
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2019"	"2019"	106	2031.160	34.632	34.726
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2020"	"2020"	117	1977.641	34.650	34.795
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2021"	"2021"	121	1981.198	34.669	34.620
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2014"	"2014"	165	1914.291	33.891	33.667
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	178	1880.725	33.697	33.444
